select * from headword_exs where Trs regexp '.+\)。\S.*';
WdID	PoSID	MnID	col_Order	Wd	Wd2	exid	Ex	IPA	Trs
203	0	0	199	アイヤーティ	アイ⸢ヤー⸣ティ	1	アイ⸢ヤー⸣ティル　キ⸢ノー⸣ヤ　⸢クーン⸣　ブ⸢レー⸣バン⸢ナー	[ʔai⸢jaː⸣tiru ki⸢noː⸣ja ⸢kuːm⸣ bu⸢reː⸣ban⸢naː]	(それだから<それで>昨日は来なかったんだね)。「それだから」の義。前件を受けて、それを原因・理由とする帰結を述べる接続表現。
1417	0	0	206	アイヤンダ	アイ⸢ヤンダ	3	アイヤ⸢レー⸣ティ	[ʔaija⸢reː⸣ti]	(それで{EOS}それだから))。⸣アイ　ヤ⸢リ⸣キー、⸣アイ　ヤ⸢レー⸣キ[⸣ʔai ja⸢reː⸣ki](それだから、それで)参照
308	0	0	269	アウミツァ	⸢アウミツァ	1	⸢パイ⸣タナー　⸢アウミツァー　アッ⸣タン	[⸢pai⸣tanaː ⸢ʔaumiʦaː ʔat⸣taŋ]	(\ruby{南端}{ハイ|バタ}<西表島>には青土はあった)。ア⸢ガミツァ[ʔa⸢gamiʦa](赤土、赤粘土)の対語
247	0	1	277	アウン	⸢アウン	1	フ⸢ナ⸣ブン　⸢バン⸣スルン　⸢ウーミ⸣タルカー　⸢アウンドゥ　ウーマン⸣カー　⸢アーヌ	[ɸu⸢na⸣bum ⸢ban⸣suruŋ ⸢ʔuːmi⸣tarukaː ⸢ʔaundu ʔuːmaŋ⸣kaː ⸢ʔaːnu]	(九年母もグアバも完熟したら落ちるが、熟れないと落ちない)。⸢アイルン[⸢ʔairuŋ](木の実が熟れて落ちる)と同じ。
10	0	0	313	アガゲー	ア⸢ガゲー	1	ア⸢ガゲー　ホー⸣シン　パラ⸢ディー	[ʔa⸢gageː hoː⸣ʃim para⸢diː]	(アガゲーを釣りに行こうよ)。鳩間島方言では⸣ゲーイズ[⸣geːʔiʣu]の仲間である。和名、キツネダイの仲間(『原色沖縄の魚』)ともいう。ゲーイズの中でも大きめで、体長が約16センチ以上の赤紫色を帯びた魚。よく餌に食いつくので、子供たちは屋良の浜の礁内湖や島の後ろの礁内湖で釣り上げて楽しんだ。美味ではない。
334	0	0	315	アガサナイ	ア⸢ガサナイ	1	ア⸢ガサナイバ⸣　キ⸢シティ　ケン⸣グ　⸢シーティル⸣　ア⸢ザナー⸣　シ⸢キラ⸣リ　⸢オール	[ʔa⸢gasaniba⸣ ki̥⸢ʃiti keŋ⸣gu ⸢ʃiːtiru⸣ ʔa⸢ʣanaː⸣ ʃi̥⸢kira⸣ri ⸢ʔoː⸣ru]	(赤い褌を着て村芝居<狂言>をして<ぞ>、渾名を付けられておられるのだ)。鱶(ふか)は人を襲うとき体長を比べ、鱶より小さいものを襲うといわれているので、難を避けるために赤褌をしめ、長く垂らして海に入ったという。
375	0	0	337	アガジンナーマ	ア⸢ガジンナー⸣マ	1	⸢ナー⸣マ	[⸢naː⸣ma]	(接尾指小辞)。鳩間方言の接尾指小辞は、上接語の末尾が-ン[-ŋ]で終わる場合、⸢-ナー⸣マ[⸢-naː⸣ma]となり、上接語の末尾母音が-イ[-i]の場合は、⸢-エー⸣マ[⸢-eː⸣ma]、例、フ⸢ネー⸣マ[ɸu⸢neː⸣ma](小さな舟)、上接語の末尾母音が-ウ[-u]の場合は、⸢-オー⸣マ[⸢-oː⸣ma]、例パ⸢コー⸣マ[pa⸢koː⸣ma](小さな箱)、上接語の末尾母音が-ア[-a]の場合は、⸢-アー⸣マ[⸢-aː⸣ma]となる。例、パ⸢ナー⸣マ[pa⸢naː⸣ma](小さな花)。また、上接語の末尾母音が連母音⸢-アイ[⸢-ai]の場合は、⸢-ヤー⸣マ[⸢-jaː⸣ma]となり、例、ガイ⸢ヤー⸣マ[gai⸢jaː⸣ma](小匙)、連母音⸢-アウ[⸢-au]の場合は⸢-ワー⸣マ[⸢-waː⸣ma]となる。例、バウ⸢ワー⸣マ[bau⸢waː⸣ma](小さな棒)
91	0	0	376	アガピーカー	ア⸢ガピーカー	1	イ⸢ツォン⸣プソー　ア⸢ガピーカーヨ⸣　ア⸢ケー⸣ティン　ア⸢ゾー⸣ルン⸢ダー	[ʔi⸢ʦom⸣pu̥soː ʔa⸢gapiːkaːjoː⸣ ʔa⸢keː⸣tiŋ ʔa⸢ʣoː⸣run⸢daː]	(糸満の人はアガピーカーをアケーともいわれるよ)。シ⸢ナカキ⸣ヤー漁でもよく漁獲されたし、⸣ティル[⸣tiru](漁獲用笊)漁でもよく漁獲された。ヒメアイゴの背びれには毒針があるので、刺されないように気を配って漁獲した。魚肉は引き締まって美味である
438	0	0	396	アガマスン	ア⸢ガマスン	1	⸣アブジェー　⸣ミーラ　⸢ピー⸣ヌ　ン⸢ジ⸣ルンケン　⸣シラー　ア⸢ガマシティ　クン⸣ゾー　⸣ンジ　⸢オー⸣ル	[⸣ʔabuʤeː ⸣miːra ⸢piː⸣nu ʔn⸢ʤi⸣ruŋkeŋ ⸣ʃiraː ʔa⸢gamaʃi̥ti kun⸣ʣoː ⸣ʔnʤi ⸢ʔoː⸣ru]	(おじいさんは目から火が出るほど顔は赤らませて怒って<根性をだして>おられる)。赤らめる。
426	0	0	413	アガムノーマ	ア⸢ガムノー⸣マ	1	ッ⸢サレー	[s⸢sareː]	(申し上げごと)。村人は、この滑稽な声色のメッセージを神の声と信じ、竈の前の火の用心に心がけた。それでも、可笑しな声色を堪えるのに苦労した。ッ⸢サレーが門口より立ち去った後、家族の婦女子らはどっと噴き出して、その良し悪しを評価しあったものである
